date,region,resource_type,usage_cpu,usage_storage,users_active,day_of_week,month,quarter,is_weekend,utilization_ratio,storage_efficiency,cpu_lag_1,cpu_lag_3,cpu_lag_7,cpu_roll_mean_7,cpu_roll_mean_30,cpu_roll_max_7,cpu_roll_min_7
2023-01-01,East US,VM,88,1959,470,6,1,1,True,0.8888888888888888,0.9819548872180452,,,,,,,
2023-01-01,North Europe,Container,82,959,221,6,1,1,True,0.8282828282828283,0.4807017543859649,51.0,,,,,,
2023-01-01,Southeast Asia,VM,93,1356,248,6,1,1,True,0.9393939393939394,0.6796992481203008,,,,,,,
2023-01-01,Southeast Asia,Storage,76,1582,369,6,1,1,True,0.7676767676767676,0.7929824561403509,93.0,,,,,,
2023-01-01,Southeast Asia,Container,77,1199,470,6,1,1,True,0.7777777777777778,0.6010025062656642,76.0,,,,,,
2023-01-01,North Europe,VM,73,1937,493,6,1,1,True,0.7373737373737373,0.9709273182957392,,,,,,,
2023-01-01,West US,VM,60,1982,287,6,1,1,True,0.6060606060606061,0.993483709273183,,,,,,,
2023-01-01,West US,Storage,85,1371,351,6,1,1,True,0.8585858585858586,0.687218045112782,60.0,,,,,,
2023-01-01,West US,Container,52,1832,457,6,1,1,True,0.5252525252525253,0.9182957393483708,85.0,,,,,,
2023-01-01,North Europe,Storage,51,1715,476,6,1,1,True,0.5151515151515151,0.8596491228070176,73.0,,,,,,
2023-01-01,East US,Storage,92,1595,388,6,1,1,True,0.9292929292929292,0.7994987468671679,88.0,,,,,,
2023-01-01,East US,Container,70,621,414,6,1,1,True,0.7070707070707071,0.3112781954887218,92.0,,,,,,
2023-01-02,West US,Storage,53,1100,213,0,1,1,False,0.5353535353535354,0.5513784461152882,58.0,85.0,,,,,
2023-01-02,West US,Container,99,1276,252,0,1,1,False,1.0,0.6395989974937344,53.0,52.0,,,,,
2023-01-02,East US,Container,86,1146,220,0,1,1,False,0.8686868686868687,0.5744360902255639,93.0,70.0,,,,,
2023-01-02,North Europe,VM,51,1863,291,0,1,1,False,0.5151515151515151,0.9338345864661656,82.0,73.0,,,,,
2023-01-02,North Europe,Container,96,534,405,0,1,1,False,0.9696969696969696,0.2676691729323308,96.0,82.0,,,,,
2023-01-02,West US,VM,58,666,473,0,1,1,False,0.5858585858585859,0.3338345864661654,52.0,60.0,,,,,
2023-01-02,Southeast Asia,Container,53,1202,417,0,1,1,False,0.5353535353535354,0.6025062656641604,55.0,77.0,,,,,
2023-01-02,Southeast Asia,Storage,55,1065,305,0,1,1,False,0.5555555555555556,0.5338345864661654,66.0,76.0,,,,,
2023-01-02,Southeast Asia,VM,66,1911,201,0,1,1,False,0.6666666666666666,0.9578947368421052,77.0,93.0,,,,,
2023-01-02,East US,Storage,93,1767,330,0,1,1,False,0.9393939393939394,0.8857142857142857,96.0,92.0,,,,,
2023-01-02,East US,VM,96,1457,250,0,1,1,False,0.9696969696969696,0.7303258145363408,70.0,88.0,,,,,
2023-01-02,North Europe,Storage,96,1455,463,0,1,1,False,0.9696969696969696,0.7293233082706767,51.0,51.0,,,,,
2023-01-03,North Europe,Storage,64,564,208,1,1,1,False,0.6464646464646465,0.2827067669172932,94.0,96.0,73.0,76.28571428571429,,96.0,51.0
2023-01-03,North Europe,Container,73,1652,335,1,1,1,False,0.7373737373737373,0.8280701754385965,64.0,96.0,51.0,79.42857142857143,,96.0,51.0
2023-01-03,West US,Container,73,716,451,1,1,1,False,0.7373737373737373,0.3588972431077694,67.0,99.0,85.0,70.14285714285714,,99.0,52.0
2023-01-03,West US,Storage,67,1378,252,1,1,1,False,0.6767676767676768,0.6907268170426065,89.0,53.0,60.0,71.85714285714286,,99.0,52.0
